EMD_CD,EMD_ENG_NM,EMD_KOR_NM
26110101,Yeongju-dong,영주동
26110102,Daechang-dong 1(il)-ga,대창동1가
26110103,Daechang-dong 2(i)-ga,대창동2가
26110104,Jungang-dong 1(il)-ga,중앙동1가
26110105,Jungang-dong 2(i)-ga,중앙동2가
26110106,Jungang-dong 3(sam)-ga,중앙동3가
26110107,Jungang-dong 4(sa)-ga,중앙동4가
26110108,Jungang-dong 5(o)-ga,중앙동5가
26110109,Jungang-dong 6(yuk)-ga,중앙동6가
26110110,Jungang-dong 7(chil)-ga,중앙동7가
26110111,Donggwang-dong 1(il)-ga,동광동1가
26110112,Donggwang-dong 2(i)-ga,동광동2가
26110113,Donggwang-dong 3(sam)-ga,동광동3가
26110114,Donggwang-dong 4(sa)-ga,동광동4가
26110115,Donggwang-dong 5(o)-ga,동광동5가
26110116,Daecheong-dong 1(il)-ga,대청동1가
26110117,Daecheong-dong 2(i)-ga,대청동2가
26110118,Daecheong-dong 3(sam)-ga,대청동3가
26110119,Daecheong-dong 4(sa)-ga,대청동4가
26110120,Bosu-dong 1(il)-ga,보수동1가
26110121,Bosu-dong 2(i)-ga,보수동2가
26110122,Bosu-dong 3(sam)-ga,보수동3가
26110123,Bupyeong-dong 1(il)-ga,부평동1가
26110124,Bupyeong-dong 2(i)-ga,부평동2가
26110125,Bupyeong-dong 3(sam)-ga,부평동3가
26110126,Bupyeong-dong 4(sa)-ga,부평동4가
26110127,Sinchang-dong 1(il)-ga,신창동1가
26110128,Sinchang-dong 2(i)-ga,신창동2가
26110129,Sinchang-dong 3(sam)-ga,신창동3가
26110130,Sinchang-dong 4(sa)-ga,신창동4가
26110131,Changseon-dong 1(il)-ga,창선동1가
26110132,Changseon-dong 2(i)-ga,창선동2가
26110133,Gwangbok-dong 1(il)-ga,광복동1가
26110134,Gwangbok-dong 2(i)-ga,광복동2가
26110135,Gwangbok-dong 3(sam)-ga,광복동3가
26110136,Nampo-dong 1(il)-ga,남포동1가
26110137,Nampo-dong 2(i)-ga,남포동2가
26110138,Nampo-dong 3(sam)-ga,남포동3가
26110139,Nampo-dong 4(sa)-ga,남포동4가
26110140,Nampo-dong 5(o)-ga,남포동5가
26110141,Nampo-dong 6(yuk)-ga,남포동6가
26140101,Dongdaesin-dong 1(il)-ga,동대신동1가
26140102,Dongdaesin-dong 2(i)-ga,동대신동2가
26140103,Dongdaesin-dong 3(sam)-ga,동대신동3가
26140104,Seodaesin-dong 1(il)-ga,서대신동1가
26140105,Seodaesin-dong 2(i)-ga,서대신동2가
26140106,Seodaesin-dong 3(sam)-ga,서대신동3가
26140107,Buyong-dong 1(il)-ga,부용동1가
26140108,Buyong-dong 2(i)-ga,부용동2가
26140109,Bumin-dong 1(il)-ga,부민동1가
26140110,Bumin-dong 2(i)-ga,부민동2가
26140111,Bumin-dong 3(sam)-ga,부민동3가
26140112,Toseong-dong 1(il)-ga,토성동1가
26140113,Toseong-dong 2(i)-ga,토성동2가
26140114,Toseong-dong 3(sam)-ga,토성동3가
26140115,Ami-dong 1(il)-ga,아미동1가
26140116,Ami-dong 2(i)-ga,아미동2가
26140117,Toseong-dong 4(sa)-ga,토성동4가
26140118,Toseong-dong 5(o)-ga,토성동5가
26140119,Chojang-dong,초장동
26140120,Chungmu-dong 1(il)-ga,충무동1가
26140121,Chungmu-dong 2(i)-ga,충무동2가
26140122,Chungmu-dong 3(sam)-ga,충무동3가
26140123,Nambumin-dong,남부민동
26140124,Amnam-dong,암남동
26170101,Choryang-dong,초량동
26170102,Sujeong-dong,수정동
26170103,Jwacheon-dong,좌천동
26170104,Beomil-dong,범일동
26200101,Daegyo-dong 1(il)-ga,대교동1가
26200102,Daegyo-dong 2(i)-ga,대교동2가
26200103,Daepyeong-dong 1(il)-ga,대평동1가
26200104,Daepyeong-dong 2(i)-ga,대평동2가
26200105,Namhang-dong 1(il)-ga,남항동1가
26200106,Namhang-dong 2(i)-ga,남항동2가
26200107,Namhang-dong 3(sam)-ga,남항동3가
26200108,Yeongseon-dong 1(il)-ga,영선동1가
26200109,Yeongseon-dong 2(i)-ga,영선동2가
26200110,Yeongseon-dong 3(sam)-ga,영선동3가
26200111,Yeongseon-dong 4(sa)-ga,영선동4가
26200112,Sinseon-dong 1(il)-ga,신선동1가
26200113,Sinseon-dong 2(i)-ga,신선동2가
26200114,Sinseon-dong 3(sam)-ga,신선동3가
26200115,Bongnae-dong 1(il)-ga,봉래동1가
26200116,Bongnae-dong 2(i)-ga,봉래동2가
26200117,Bongnae-dong 3(sam)-ga,봉래동3가
